GREEN,5,2026-04-17T16:12:50.641135613
YELLOW,5,2026-04-17T16:12:50.643242045
RED,5,2026-04-17T16:12:50.643319769
GREEN,5,2026-04-17T16:12:50.643385403
YELLOW,5,2026-04-17T16:12:50.643450818
RED,5,2026-04-17T16:12:50.643518922
GREEN,5,2026-04-17T16:12:50.643567735
GREEN,5,2026-04-17T16:21:23.892252319
YELLOW,5,2026-04-17T16:21:23.894425535
RED,5,2026-04-17T16:21:23.894509032
GREEN,5,2026-04-17T16:21:23.894564707
YELLOW,5,2026-04-17T16:21:23.894617820
RED,5,2026-04-17T16:21:23.894662784
GREEN,5,2026-04-17T16:21:23.894710199
